Date,Equity
2018-01-17,168027.54819738073
2018-01-18,168027.54819738073
2018-01-19,168027.54819738073
2018-01-22,168027.54819738073
2018-01-23,168027.54819738073
2018-01-24,166347.27271540693
2018-01-25,164683.79998825287
2018-01-26,163036.96198837034
2018-01-29,161406.59236848663
2018-01-30,159792.52644480177
2018-01-31,158194.60118035375
2018-02-01,158194.60118035375
2018-02-02,158194.60118035375
2018-02-05,158194.60118035375
2018-02-06,156612.6551685502
2018-02-07,155046.5286168647
2018-02-08,153496.06333069605
2018-02-09,151961.10269738908
2018-02-12,150441.49167041518
2018-02-13,148937.07675371104
2018-02-14,147447.70598617394
2018-02-15,145973.2289263122
2018-02-16,144513.49663704907
2018-02-20,144513.49663704907
2018-02-21,144513.49663704907
2018-02-22,144513.49663704907
2018-02-23,144513.49663704907
2018-02-26,144513.49663704907
2018-02-27,144513.49663704907
2018-02-28,144513.49663704907
2018-03-01,144513.49663704907
2018-03-02,144513.49663704907
2018-03-05,144513.49663704907
2018-03-06,144513.49663704907
2018-03-07,144513.49663704907
2018-03-08,144513.49663704907
2018-03-09,144513.49663704907
2018-03-12,144513.49663704907
2018-03-13,144513.49663704907
2018-03-14,144513.49663704907
2018-03-15,144513.49663704907
2018-03-16,144513.49663704907
2018-03-19,144513.49663704907
2018-03-20,144513.49663704907
2018-03-21,144513.49663704907
2018-03-22,144513.49663704907
2018-03-23,144513.49663704907
2018-03-26,144513.49663704907
2018-03-27,144513.49663704907
2018-03-28,144513.49663704907
2018-03-29,144513.49663704907
2018-04-02,144513.49663704907
2018-04-03,144513.49663704907
2018-04-04,144513.49663704907
2018-04-05,144513.49663704907
2018-04-06,144513.49663704907
2018-04-09,144513.49663704907
2018-04-10,144513.49663704907
2018-04-11,144513.49663704907
2018-04-12,144513.49663704907
2018-04-13,144513.49663704907
2018-04-16,144513.49663704907
2018-04-17,144513.49663704907
2018-04-18,144513.49663704907
2018-04-19,144513.49663704907
2018-04-20,144513.49663704907
2018-04-23,144513.49663704907
2018-04-24,144513.49663704907
2018-04-25,144513.49663704907
2018-04-26,144513.49663704907
2018-04-27,144513.49663704907
2018-04-30,144513.49663704907
2018-05-01,144513.49663704907
2018-05-02,144513.49663704907
2018-05-03,144513.49663704907
2018-05-04,144513.49663704907
2018-05-07,144513.49663704907
2018-05-08,144513.49663704907
2018-05-09,144513.49663704907
2018-05-10,144513.49663704907
2018-05-11,144513.49663704907
2018-05-14,144513.49663704907
2018-05-15,144513.49663704907
2018-05-16,144513.49663704907
2018-05-17,144513.49663704907
2018-05-18,144513.49663704907
2018-05-21,144513.49663704907
2018-05-22,144513.49663704907
2018-05-23,144513.49663704907
2018-05-24,144513.49663704907
2018-05-25,144513.49663704907
2018-05-29,144513.49663704907
2018-05-30,144513.49663704907
2018-05-31,144513.49663704907
2018-06-01,144513.49663704907
2018-06-04,144513.49663704907
2018-06-05,144513.49663704907
2018-06-06,144513.49663704907
2018-06-07,144513.49663704907
2018-06-08,144513.49663704907
2018-06-11,144513.49663704907
2018-06-12,144513.49663704907
2018-06-13,144513.49663704907
2018-06-14,144513.49663704907
2018-06-15,144513.49663704907
2018-06-18,143068.3616706786
2018-06-19,141637.67805397182
2018-06-20,140221.3012734321
2018-06-21,138819.08826069778
2018-06-22,137430.8973780908
2018-06-25,136056.58840430988
2018-06-26,134696.02252026676
2018-06-27,133349.0622950641
2018-06-28,132015.57167211347
2018-06-29,130695.41595539234
2018-07-02,129388.46179583842
2018-07-03,128094.57717788004
2018-07-05,126813.63140610124
2018-07-06,125545.49509204022
2018-07-09,124290.04014111983
2018-07-10,124290.04014111983
2018-07-11,123047.13973970863
2018-07-12,121816.66834231155
2018-07-13,120598.50165888843
2018-07-16,119392.51664229955
2018-07-17,118198.59147587656
2018-07-18,117016.60556111779
2018-07-19,115846.43950550661
2018-07-20,114687.97511045155
2018-07-23,113541.09535934703
2018-07-24,113541.09535934703
2018-07-25,113541.09535934703
2018-07-26,113541.09535934703
2018-07-27,112405.68440575356
2018-07-30,111281.62756169602
2018-07-31,110168.81128607906
2018-08-01,110168.81128607906
2018-08-02,112372.18751180064
2018-08-03,112372.18751180064
2018-08-06,112372.18751180064
2018-08-07,112372.18751180064
2018-08-08,112372.18751180064
2018-08-09,112372.18751180064
2018-08-10,112372.18751180064
2018-08-13,112372.18751180064
2018-08-14,112372.18751180064
2018-08-15,112372.18751180064
2018-08-16,112372.18751180064
2018-08-17,114619.63126203665
2018-08-20,116912.02388727739
2018-08-21,119250.26436502294
2018-08-22,121635.2696523234
2018-08-23,124067.97504536988
2018-08-24,126549.33454627727
2018-08-27,129080.3212372028
2018-08-28,129080.3212372028
2018-08-29,129080.3212372028
2018-08-30,129080.3212372028
2018-08-31,129080.3212372028
2018-09-04,129080.3212372028
2018-09-05,129080.3212372028
2018-09-06,129080.3212372028
2018-09-07,129080.3212372028
2018-09-10,129080.3212372028
2018-09-11,129080.3212372028
2018-09-12,129080.3212372028
2018-09-13,129080.3212372028
2018-09-14,129080.3212372028
2018-09-17,129080.3212372028
2018-09-18,129080.3212372028
2018-09-19,127789.51802483077
2018-09-20,127789.51802483077
2018-09-21,126511.62284458247
2018-09-24,125246.50661613664
2018-09-25,123994.04154997527
2018-09-26,122754.10113447552
2018-09-27,122754.10113447552
2018-09-28,122754.10113447552
2018-10-01,122754.10113447552
2018-10-02,122754.10113447552
2018-10-03,122754.10113447552
2018-10-04,122754.10113447552
2018-10-05,121526.56012313077
2018-10-08,120311.29452189946
2018-10-09,119108.18157668046
2018-10-10,117917.09976091365
2018-10-11,116737.92876330452
2018-10-12,115570.54947567148
2018-10-15,114414.84398091477
2018-10-16,113270.69554110561
2018-10-17,112137.98858569456
2018-10-18,111016.60869983761
2018-10-19,111016.60869983761
2018-10-22,111016.60869983761
2018-10-23,111016.60869983761
2018-10-24,111016.60869983761
2018-10-25,111016.60869983761
2018-10-26,111016.60869983761
2018-10-29,111016.60869983761
2018-10-30,111016.60869983761
2018-10-31,111016.60869983761
2018-11-01,111016.60869983761
2018-11-02,111016.60869983761
2018-11-05,111016.60869983761
2018-11-06,111016.60869983761
2018-11-07,111016.60869983761
2018-11-08,111016.60869983761
2018-11-09,111016.60869983761
2018-11-12,111016.60869983761
2018-11-13,111016.60869983761
2018-11-14,111016.60869983761
2018-11-15,111016.60869983761
2018-11-16,111016.60869983761
2018-11-19,111016.60869983761
2018-11-20,111016.60869983761
2018-11-21,111016.60869983761
2018-11-23,111016.60869983761
2018-11-26,111016.60869983761
2018-11-27,111016.60869983761
2018-11-28,111016.60869983761
2018-11-29,111016.60869983761
2018-11-30,111016.60869983761
2018-12-03,111016.60869983761
2018-12-04,111016.60869983761
2018-12-06,111016.60869983761
2018-12-07,111016.60869983761
2018-12-10,111016.60869983761
2018-12-11,111016.60869983761
2018-12-12,111016.60869983761
2018-12-13,111016.60869983761
2018-12-14,111016.60869983761
2018-12-17,111016.60869983761
2018-12-18,111016.60869983761
2018-12-19,111016.60869983761
2018-12-20,111016.60869983761
2018-12-21,111016.60869983761
2018-12-24,111016.60869983761
2018-12-26,111016.60869983761
2018-12-27,111016.60869983761
2018-12-28,111016.60869983761
2018-12-31,111016.60869983761
2019-01-02,111016.60869983761
2019-01-03,111016.60869983761
2019-01-04,111016.60869983761
2019-01-07,111016.60869983761
2019-01-08,111016.60869983761
2019-01-09,111016.60869983761
2019-01-10,111016.60869983761
2019-01-11,111016.60869983761
2019-01-14,111016.60869983761
2019-01-15,111016.60869983761
2019-01-16,111016.60869983761
2019-01-17,111016.60869983761
2019-01-18,111016.60869983761
2019-01-22,111016.60869983761
2019-01-23,111016.60869983761
2019-01-24,111016.60869983761
2019-01-25,111016.60869983761
2019-01-28,111016.60869983761
2019-01-29,111016.60869983761
2019-01-30,111016.60869983761
2019-01-31,111016.60869983761
2019-02-01,111016.60869983761
2019-02-04,111016.60869983761
2019-02-05,111016.60869983761
2019-02-06,111016.60869983761
2019-02-07,111016.60869983761
2019-02-08,111016.60869983761
2019-02-11,111016.60869983761
2019-02-12,111016.60869983761
2019-02-13,111016.60869983761
2019-02-14,111016.60869983761
2019-02-15,111016.60869983761
2019-02-19,111016.60869983761
2019-02-20,111016.60869983761
2019-02-21,111016.60869983761
2019-02-22,111016.60869983761
2019-02-25,111016.60869983761
2019-02-26,111016.60869983761
2019-02-27,111016.60869983761
2019-02-28,111016.60869983761
2019-03-01,111016.60869983761
2019-03-04,111016.60869983761
2019-03-05,111016.60869983761
2019-03-06,111016.60869983761
2019-03-07,111016.60869983761
2019-03-08,111016.60869983761
2019-03-11,111016.60869983761
2019-03-12,111016.60869983761
2019-03-13,111016.60869983761
2019-03-14,111016.60869983761
2019-03-15,111016.60869983761
2019-03-18,113236.94087383436
2019-03-19,115501.67969131104
2019-03-20,117811.71328513726
2019-03-21,120167.94755084
2019-03-22,120167.94755084
