Entry Date,Exit Date,Direction,Size,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2022-12-22,2022-12-29,long,1.0,380.72,383.44,714.4358058415555,0.7144358058415555,open
2022-12-29,2023-01-04,short,1.0,383.44,383.76,-83.45503859795357,-0.08345503859795357,open
2023-01-04,2023-01-05,long,0.8033185,383.76,379.38,-916.8582182711841,-0.9168582182711842,open
2023-01-05,2023-01-06,short,1.0,379.38,388.08,-2293.215245927563,-2.2932152459275628,open
2023-01-06,2023-01-25,long,1.0,388.08,400.35,3161.7192331478145,3.1617192331478146,open
2023-01-25,2023-01-31,short,1.0,400.35,406.48,-1531.1602347945536,-1.5311602347945537,open
2023-01-31,2023-02-01,long,0.1452338,406.48,410.8,154.35200032904424,0.15435200032904425,open
2023-02-01,2023-02-07,short,1.0,410.8,415.19,-1068.6465433300843,-1.0686465433300845,open
2023-02-07,2023-02-08,long,1.0,415.19,410.65,-1093.4752763794938,-1.0934752763794937,open
2023-02-08,2023-02-09,long,0.89921933,410.65,407.09,-779.5496644039941,-0.7795496644039941,open
2023-02-09,2023-03-06,long,1.0,407.09,404.47,-643.5923260212601,-0.6435923260212602,open
2023-03-06,2023-03-10,short,1.0,404.47,385.91,4588.72104235172,4.58872104235172,open
2023-03-10,2023-03-22,long,1.0,385.91,392.11,1606.5922106190533,1.606592210619053,open
2023-03-22,2023-03-27,short,1.0,392.11,396.49,-1117.0334855015162,-1.1170334855015163,open
2023-03-28,2023-03-29,long,1.0,395.6,401.35,1453.4883720930231,1.4534883720930232,open
2023-03-29,2023-03-30,short,1.0,401.35,403.7,-585.5238569826748,-0.5855238569826748,open
2023-03-30,2023-05-03,long,1.0,403.7,408.02,1070.1015605647742,1.0701015605647741,open
2023-05-03,2023-05-04,long,0.60723376,408.02,405.13,-430.10282277829316,-0.43010282277829315,open
2023-05-04,2023-05-08,long,1.0,405.13,412.74,1878.4093994520313,1.8784093994520312,open
2023-05-08,2023-05-09,long,0.27238008,412.74,410.93,-119.4475799307677,-0.11944757993076771,open
2023-05-09,2023-05-12,short,1.0,410.93,411.59,-160.61129632783397,-0.16061129632783397,open
2023-05-12,2023-05-18,long,1.0,411.59,419.23,1856.2161374183154,1.8562161374183155,open
2023-05-18,2023-05-19,short,1.0,419.23,418.62,145.5048541373503,0.1455048541373503,open
2023-05-19,2023-06-02,long,1.0,418.62,427.92,2221.585208542356,2.221585208542356,open
2023-06-05,2023-06-09,short,1.0,427.1,429.9,-655.5841723249717,-0.6555841723249718,open
2023-06-09,2023-06-14,long,1.0,429.9,437.18,1693.4170737380857,1.6934170737380856,open
2023-06-15,2023-06-16,long,1.0,442.6,439.46,-709.4441934026306,-0.7094441934026305,open
2023-06-16,2023-06-20,short,0.8516339,439.46,437.18,441.84346840440014,0.4418434684044002,open
2023-06-20,2023-06-30,long,1.0,437.18,443.28,1395.3062811656448,1.3953062811656447,open
2023-06-30,2023-07-03,long,0.27652743,443.28,443.79,31.81487888404636,0.03181487888404636,open
2023-07-03,2023-07-05,short,1.0,443.79,443.13,148.7189887108824,0.1487189887108824,open
2023-07-05,2023-07-06,long,1.0,443.13,439.66,-783.0659174508543,-0.7830659174508543,open
2023-07-06,2023-07-07,short,1.0,439.66,438.55,252.46781603967008,0.2524678160396701,open
2023-07-07,2023-07-18,long,1.0,438.55,454.19,3566.2980275909217,3.5662980275909217,open
2023-07-18,2023-07-19,long,0.7333716,454.19,455.2,163.08270922548786,0.16308270922548787,open
2023-07-19,2023-07-20,long,0.544344,455.2,452.18,-361.14212451257475,-0.36114212451257477,open
2023-07-20,2023-10-06,long,1.0,452.18,429.54,-5006.855676942807,-5.006855676942807,open
2023-10-06,2023-10-09,short,1.0,429.54,432.29,-640.2197699864971,-0.6402197699864971,open
2023-10-09,2023-11-01,long,1.0,432.29,422.66,-2227.671239214415,-2.227671239214415,open
2023-11-01,2023-11-13,short,1.0,422.66,440.19,-4147.541759333737,-4.147541759333738,open
2023-11-13,2023-11-16,long,1.0,440.19,450.23,2280.8332765396804,2.2808332765396804,open
2023-11-16,2023-11-17,long,0.6364353,450.23,450.79,79.16037428092339,0.07916037428092339,open
2023-11-17,2023-11-22,long,1.0,450.79,455.02,938.3526697575282,0.9383526697575282,open
2023-11-22,2023-11-24,long,0.6676582,455.02,455.3,41.084852726258134,0.041084852726258135,open
2023-11-24,2023-12-13,long,1.0,455.3,470.5,3338.4581594553015,3.3384581594553016,open
2023-12-13,2023-12-14,short,0.15289702,470.5,472.01,-49.07002926574094,-0.049070029265740944,open
2023-12-14,2023-12-19,long,1.0,472.01,474.84,599.5635685684591,0.5995635685684592,open
2023-12-19,2023-12-20,short,0.21975882,474.84,468.26,304.52638553249443,0.30452638553249445,open
2023-12-20,2023-12-28,long,1.0,468.26,476.69,1800.2818946739008,1.8002818946739008,open
2023-12-28,2023-12-29,short,0.55216277,476.69,475.31,159.84909004672795,0.15984909004672795,end
